id,pm25,pm10,so2,no,o3
226,8.0,6.0,,,
227,,16.0,,,
228,,21.0,,,
229,,,,,
230,,10.0,,,
231,21.0,14.9,,,44.0
232,,,,,
233,,,,,
234,,29.0,,,
235,,43.0,,,
236,,28.0,,,
237,33.07,,,19.37,
238,3.6,,,11.05,
239,4.5,,,13.21,
240,,,,,17.161
241,25.33184512456258,26.07261912027995,,,
242,17.2,23.1,1.9,,2.0
243,,,,,18.23
244,16.0,22.7,2.38,,11.5
245,15.2,29.6,,,
246,21.72,27.08,,,
247,15.2,17.6,8.39,,32.7
248,,,,,21.4
249,,,,,2.337
250,181.0,194.9,,,
251,,,,,8.8
252,148.8,165.1,15.5,,2.5
253,134.8,147.0,19.2,,5.9
254,,20.3240566,5.70052,,
255,,19.1836662,,,
256,,20.3240566,5.70052,,
257,-1.0,-1.0,213.568649,,41.1614838
258,,11.0968218,,,
259,,4.97096,,,
260,-1.0,-1.0,213.568649,,41.1614838
261,,19.0749531,-1.0,,
262,,18.014555,,,
263,,19.0749531,-1.0,,
264,,7.52275,,,
265,,20.82107,6.744808,,
266,,16.3648052,,,
267,,18.3429947,,,
268,,9.072927,,,
269,,17.6096668,,,
270,,8.372636,,,
271,,20.9724445,,,
272,3.025863,4.959433,,,36.2811623
273,,20.82107,6.744808,,
274,,11.0096941,,,
275,,12.1227884,,,
276,,13.6457767,,,
277,,6.550755,,,
278,2.170749,5.631451,,,
279,,4.97096,,,
280,,18.3429947,,,
281,,6.657183,,,
282,,10.3062658,,,
283,,11.5973492,,,
284,,15.753,,,
285,,29.2132778,,,
286,,9.068666,,,
287,,15.4064159,,,
288,,8.88545,,,
289,3.570377,4.698316,,,93.70108
290,6.143436,7.792292,,,
291,,19.4425545,,,
292,,10.1258993,,,
293,,9.611083,,,
294,,17.2205544,,,
295,,8.227525,,,
296,,5.952566,,,
297,,17.0332222,,,
298,,5.655299,,,
299,,16.8636665,,,
300,3.64,,,7.82,
301,0.45,,,12.93,
302,4.23,,,11.21,
303,6.11,,,10.15,
304,4.66,,,22.02,
305,2.8,,,,
306,7.37,,,8.61,
307,3.54,,,5.9,
308,30.92,,,14.24,
309,4.98,,,14.78,
310,4.34,,,34.09,
311,5.53,,,10.31,
312,4.59,,,19.51,
313,10.52,14.8,,7.58,
314,18.31,25.85,,53.09,
315,11.35,15.32,,3.24,54.28
316,8.08,11.52,,8.41,56.86
317,8.85,12.54,,2.95,
318,,,,4.59,
319,9.8,15.09,,45.87,
320,11.07,16.58,,12.07,
321,11.64,16.61,0.86,16.78,44.66
322,,,,18.85,
323,11.77,17.6,,39.24,
324,34.6708337465922,38.395833810170494,,,
325,41.34,49.93,,22.8,
326,6.585952377319336,,,,
327,21.68,30.0,,,
328,,14.0,,1.0,89.0
329,8.0,16.0,,1.0,
330,9.0,23.0,2.0,2.0,80.0
331,,,,1.0,77.0
332,,,,1.0,72.0
333,,,,1.0,89.0
334,15.0,29.0,,2.0,54.63
335,,,,1.0,
336,,,2.0,1.0,
337,17.0,,,,25.0
338,10.0,18.0,3.0,1.0,
339,,,2.0,3.0,84.0
340,,16.0,2.0,1.0,
341,,21.0,2.0,1.0,
342,12.0,28.0,,22.0,16.0
343,,,,1.0,79.0
344,13.0,21.0,,1.0,
345,,,3.0,4.0,69.0
346,12.0,28.0,,,16.0
347,17.0,,,6.0,25.0
348,,29.0,,1.0,80.0
349,,,,1.0,85.0
350,10.0,17.0,1.0,1.0,
351,5.0,15.0,,7.0,
352,6.0,13.0,3.0,1.0,86.0
353,4.496103850277987,4.544480453838002,,,
354,2.4516369104385376,2.5418154994646707,,,
355,,7.397722,,,
356,4.379058,5.543713,,,84.00973
357,,17.9097767,,,
358,,14.4066658,,,
359,,22.37111,,,
360,,9.3101,,,
361,,-1.0,,,
362,,15.20199277,4.47209401,,
363,,34.031,4.54816061,,49.62980277
364,,14.52642972,5.95477602,,
365,7.67978461,9.09202179,3.74719386,,36.73044201
366,,30.49568749,,,
367,,34.01193638,,,
368,4.58,,,,
369,9.1291666666667,9.4088333333333,5.1672852,,27.5709
370,11.187,12.542166666667,5.9427951833333,,30.885925
371,9.9955,10.619333333333,4.6412983166667,,28.817775
372,8.5958333333333,9.4211666666667,4.4222665666667,,8.063125
373,10.787,12.476333333333,,,29.71885
374,10.289310344828,12.36275862069,5.2639521,,21.014
375,9.5065,10.456333333333,,,29.20015
376,12.733166666667,13.6985,4.3164567,,36.598275
377,11.285333333333,13.279,5.2864988333333,,
378,10.877833333333,12.74,12.520138883333,,37.43285
379,9.8223333333333,10.855666666667,5.296707,,21.722225
380,10.057333333333,11.456,4.7092935833333,,8.196125
381,9.8323333333333,11.76,,,
382,9.8101666666667,10.821333333333,5.3601751666667,,
383,10.097333333333,12.222333333333,7.1856616666667,,4.4555
384,10.683,12.323666666667,18.92740565,,21.08715
385,9.6930357142857,11.237857142857,,,16.0531
386,8.5233333333333,9.4581666666667,5.9498521333333,,33.9416
387,9.3915,11.098333333333,4.4834268,,17.818675
388,27.101833333333,86.515333333333,17.791946833333,,106.263675
389,26.903,122.45883333333,10.221614816667,,
390,25.074,81.331166666667,24.6718961,,87.1549
391,25.231333333333,76.461833333333,14.536207416667,,99.075025
392,19.851206896552,40.239655172414,9.9454617166667,,93.136575
393,49.35074424743652,,,,
394,7.0,9.0,,,
395,,1.0,,,47.0
396,30.0,34.0,8.0,,4.5
397,10.0,12.0,,,20.8
398,15.0,38.0,,,
399,,39.21531,7.618296,,8.646191
400,5.07,5.07,,,
401,23.3,23.4,,,
402,,,,,
403,5.0,11.0,,,37.0
404,,,,,
405,,,1.86263,,68.65208
406,16.787202437718708,18.135416507720947,,,
407,19.420833587646484,21.733333269755047,,,
408,20.945833047231037,22.40416685740153,,,
409,18.30833315849304,19.075000206629436,,,
410,,,,,
411,,,-1.0,,52.88605
412,3.0,5.0,,,67.0
413,3.0,5.0,2.0,,52.0
414,15.0,15.0,,,4.0
415,10.0,19.0,1.0,,23.0
416,,52.0,,,
417,5.4,12.0,,,
418,19.0,33.0,,4.0,1.0
419,63.62544663747152,70.13452339172363,,,
420,38.73194408416748,46.093055725097656,,,
421,13.0,69.0,,1.0,62.0
422,14.0,50.0,,7.0,
423,,,,,
424,18.81,18.9,,,
425,4.41,4.41,,,
426,21.0,,,,
427,18.97,,,,
428,30.82,,,,
429,14.31,,,,
430,30.88,,,,
431,26.83,,,,
432,23.65,,,,
433,42.64,,,,
434,3.17,,,,
435,23.64,,,,
436,20.8,,,,
437,14.2,,,,
438,25.89,,,,
439,32.33,,,,
440,31.22,,,,
441,6.42,,,,
442,25.41,,,,
443,23.48,,,,
444,16.13,,,,
445,16.65,,,,
446,42.69,,,,
447,37.52,,,,
448,25.9,,,,
449,23.08,,,,
450,24.58,,,,
451,18.25,,,,
452,21.08,,,,
453,12.8,,,,
454,14.67,,,,
455,27.13,,,,
456,20.28,,,,
457,21.99,,,,
458,20.31,,,,
459,11.69,,,,
460,,10.692627,,,
461,,28.3859444,,,
462,,7.879341,,,
463,,10.5626383,,,
464,6.024168,7.989111,,,
465,,9.322005,,,
466,,13.8109159,,,
467,,9.739674,,,
468,8.5433333333333,9.0443333333333,5.6368164833333,,20.44875
469,12.543,14.047,6.1126502,,29.59915
470,4.48,8.127,2.5,18.52,
471,5.499,10.268,2.5,2.0,
472,5.065,10.936,,15.188,
473,,9.067,,42.124,
474,3.3,6.293,2.5,,
475,4.547,7.561,2.5,2.0,67.238
476,,8.448,2.5,2.0,
477,,17.09,2.5,10.592,
478,20.99,29.95,,,13.0
479,16.8,23.8,2.4,,6.8
480,,,,,19.58
481,15.1,21.5,2.38,,14.1
482,16.1,33.9,,,
483,8.2441666666667,8.7456666666667,4.5220846833333,,35.8036
484,8.5771666666667,9.8045,4.20501015,,6.3973
485,10.421,12.399166666667,,,25.59585
486,10.790833333333,13.182833333333,5.4456130833333,,19.481175
487,8.8455,9.8458333333333,,,27.627425
488,10.856333333333,11.595666666667,4.49927165,,39.00225
489,9.5433333333333,11.320666666667,4.91869415,,
490,10.567833333333,12.612666666667,12.311892283333,,34.67975
491,10.240833333333,12.290333333333,4.7206557166667,,18.886
492,8.9683333333333,10.370166666667,4.79779395,,8.708175
493,8.737,10.859333333333,,,
494,9.217,10.618833333333,5.2758468333333,,
495,11.105,15.356666666667,7.5806733333333,,3.6442
496,8.4048333333333,9.7598333333333,22.68436605,,28.272475
497,9.4056363636364,11.254727272727,,,11.507825
498,7.9795,8.8641666666667,5.6246110666667,,34.337275
499,8.7518333333333,11.278166666667,4.3109087833333,,18.0082
500,10.0,19.0,1.0,,23.0
501,5.0,11.0,20.0,,35.0
502,,52.0,,,
503,8.0,14.0,,,
504,3.1,6.4,,,23.3
505,,,,,
506,,,,,38.0
507,4.0,,,,34.0
508,4.5,11.0,,,
509,5.0,11.0,0.0,,31.0
510,5.0,19.0,,,
511,,5.0,,,
512,,6.1,,,23.4
513,4.0,10.1,,,
514,,12.7,,,
515,,8.1,,,
516,3.9,19.0,,,
517,28.13,,,,
518,23.44,,,,
519,31.84,,,,
520,20.9,,,,
521,16.67,,,,
522,27.94,,,,
523,18.41,,,,
524,25.19,,,,
525,15.77,,,,
526,25.59,,,,
527,25.12,,,,
528,36.82,,,,
529,20.8,,,,
530,27.01,,,,
531,29.53,,,,
532,21.41,,,,
533,13.17,,,,
534,0.0,,,,
535,0.0,,,,
536,10.229999542236328,,,,
537,10.4,,,,
538,5.489,15.726,,0.383,40.441
539,4.254,7.969,,13.31,
540,4.997,7.925,,1.21,70.537
541,6.381,9.878,,9.098,
542,,15.992,0.33,2.887,15.728
543,11.759,17.454,,13.65,
544,3.6,9.1,,,
545,4.0,7.3,,,
546,,7.0,,,
547,,9.3,,,
548,4.0,8.5,,,
549,,14.8,,,
550,3.4,7.4,,,31.6
551,,9.0,,,
552,18.81,18.9,,,
553,5.26,5.26,,,
554,,,,,
555,5.0,11.0,,,37.0
556,9.0,,,,
557,5.0,26.4,,,
558,3.9,19.0,,,
559,0.7,8.6,,,
560,8.0,,,,
561,3.6,9.9,,,
562,,7.0,,,
563,3.0,,,,
564,,13.4,,,
565,,14.8,,,
566,3.4,8.1,,,31.9
567,,9.0,,,
568,16.2,23.7,3.2,,18.2
569,13.6,20.5,2.38,,27.3
570,14.7,28.1,,,
571,10.0,19.0,1.8,,9.4
572,3.0,12.6,,,
573,,52.0,,,
574,3.1,6.9,,,23.3
575,4.5,11.0,,,
576,6.0,11.6,,,
577,5.0,19.0,,,
578,,5.0,,,
579,,6.1,,,27.9
580,11.0,11.0,,,
581,4.0,10.6,,,
582,9.9518333333333,10.861,6.0434122,,24.009825
583,13.1165,14.716666666667,5.9451031166667,,34.42705
584,11.2335,12.399333333333,4.3584433333333,,32.794475
585,12.12,15.135333333333,4.2477069166667,,7.0756
586,12.201666666667,14.995333333333,,,27.3448
587,13.909107142857,19.160714285714,6.0754125833333,,24.1794
588,11.377,12.9755,,,31.32815
589,11.718833333333,13.010166666667,4.4338062333333,,42.6531
590,11.839166666667,14.473166666667,5.2653723666667,,
591,11.620666666667,15.061666666667,11.862244733333,,34.064625
592,12.7145,15.819166666667,6.01265455,,21.023975
593,11.460166666667,13.589,4.724162,,10.962525
594,10.133833333333,13.268666666667,,,
595,12.6395,14.7975,5.3812128666667,,
596,13.974333333333,19.8105,7.1901,,3.6309
597,9.7816666666667,12.042,17.941474283333,,33.61575
598,12.007627118644,15.773389830508,,,11.933425
599,10.484333333333,12.198833333333,5.5820918333333,,34.031375
600,11.401166666667,15.909166666667,4.4860898,,13.1404
601,4.0,8.4,,,
602,4.0,14.8,,,
603,7.0,10.0,,,
604,,6.0,,,31.8
605,35.0,40.0,7.6,,9.5
606,10.0,12.0,,,25.4
607,15.0,38.0,,,
608,,4.0,3.0,2.0,50.0
609,,14.0,,1.0,88.0
610,10.0,19.0,1.8,,9.4
611,5.0,10.0,20.0,,34.0
612,3.0,14.5,,,
613,,51.0,,,
614,8.0,14.0,,,
615,3.2,6.9,,,23.3
616,,,,,
617,,,,,36.0
618,4.0,,,,32.0
619,7.7,11.0,,,
620,5.0,10.0,0.0,,30.0
621,6.0,23.2,,,
622,5.0,22.0,,,
623,,5.2,,,
624,,13.6,,,27.9
625,4.1,10.6,,,
626,,8.4,,,
627,,7.8,,,
628,3.9,11.0,,,
629,3.8,9.9,,,
630,4.1,8.4,,,
631,,10.9,,,
632,7.4,14.8,,,
633,,13.7,,,
634,3.5,8.1,,,31.9
635,,14.0,,,
636,7.0,10.0,,,
637,,10.0,,,43.4
638,40.0,47.0,8.0,,23.9
639,9.0,12.0,,,46.2
640,15.0,38.0,,,
641,,14.0,,1.0,75.0
642,,,,,24.85
643,,,,,84.7
644,10.8,15.2,1.3,16.9,27.7
645,,31.0,,1.0,12.0
646,,13.0,,20.0,23.0
647,16.0,46.0,3.0,,25.0
648,21.0,22.0,3.0,6.0,
649,,,,2.0,17.0
650,,,3.0,,1.0
651,8.0,23.0,,1.0,31.0
652,,22.0,,2.0,37.0
653,,,,,17.0
654,,,3.0,62.0,1.0
655,7.0,24.0,3.0,16.0,80.0
656,,,,5.0,9.0
657,7.0,18.0,2.0,60.0,20.0
658,,,,1.0,27.0
659,,,6.0,34.0,7.0
660,3.38774,10.1492,,-0.371264,21.7287
661,2.6,6.4,,,
662,3.27328,6.69617,4.02,13.6282,
663,-1.0,9.0,10.2667,34.288,
664,2.73333,8.93333,12.1333,7.20834,
665,2.68834,-1.0,7.29367,0.0206667,
666,-1.0,13.75,,,
667,1.55,5.05,0.299999,,
668,3.41,5.99,,,
669,3.51,7.39,2.81,,50.44
670,3.11,7.1,,,
671,3.11,7.1,,,
672,,,,,50.2
673,8.68,16.28,,,
674,,,1.22,,
675,,8.6,,,
676,,,,,54.0
677,,,,,54.0
678,2.94,-1.0,0.0,,
679,25.47,31.1,,,
680,26.79,29.0,,,
681,25.86,30.66,,,
682,9.09,14.14,,,
683,,,,,25.52
684,12.71,16.9,,,
685,,,1.48986174,,
686,,7.5128,,,51.6423
687,,13.7511,0.3434,,54.6271
688,,14.025,,,
689,,45.172,4.435,,
690,9.623,29.596,3.1,,25.695
691,3.28,14.523,8.75,,30.81
692,8.297,36.987,9.61,,13.611
693,10.781,23.83,6.479,,50.9
694,7.54,14.223,,,
695,16.161,32.863,43.96,,
696,3.6,20.501,5.61,,
697,2.331,60.01,9.098,,
698,,82.0,4.0,,36.0
699,,41.0,6.0,,
700,,0.0,6.0,,99.0
701,,81.0,2.0,,
702,7.7,11.0,,,
703,,51.0,,,
704,5.0,10.0,0.0,,30.0
705,8.0,13.0,,,
706,5.0,10.0,20.0,,34.0
707,,,,,36.0
708,,,,,
709,4.0,,,,32.0
710,,13.6,,,36.4
711,,5.2,,,
712,,13.7,,,
713,7.4,16.3,,,
714,,13.4,,,
715,3.8,10.8,,,
716,4.1,10.9,,,
717,13.9,22.0,,,
718,,14.0,,,
719,19.0,,,,
720,3.5,8.7,,,42.2
721,3.0,22.0,,,
722,4.0,14.5,,,
723,3.0,,,,
724,7.0,,,,
725,9.0,11.0,,,
