id,pm25,pm10,so2,no,o3
955,1.1833333373069763,1.3500000139077504,,,
956,4.375896,8.537839,,,
957,1.959794,6.670306,,,
958,3.952133,17.042967,,,
959,4.84279728,11.3095417,,,
960,2.7,5.0,,,
961,,,0.5,,
962,8.075838,12.372646,,,
963,5.197781,9.583008,,,
964,30.357546,36.465275,,,
965,26.7,30.4,,,
966,,13.0,,,
967,6.9394444444,21.7622222222,,,
968,,,1.6,,38.2
969,7.0,8.4,1.7,,48.3
970,6.1,10.5,,,
971,4.3,6.3,2.38,,51.1
972,,,,,49.43
973,5.24,7.15,,,
974,8.187053561210632,8.290624936421713,,,
975,6.704166650772095,6.879166642824809,,,
976,,,1.7,,78.8
977,,-1.0,2.7,,
978,,-1.0,,,
979,-1.0,-1.0,1.9,,83.0
980,,26.1446667,,,
981,,16.6324711,,,
982,,45.94472,,,
983,,17.2205544,,,
984,,11.5973492,,,
985,,,,,104.0
986,,,,,108.0
987,,6.0,,,61.0
988,,7.0,,,
989,14.372166666667,16.268166666667,6.0931215333333,,
990,13.379333333333,14.3555,6.7741837833333,,55.603975
991,16.386481481481,21.135740740741,,,18.842775
992,18.288166666667,22.673,13.487473633333,,55.298075
993,17.374166666667,21.508166666667,6.89717,,9.5228
994,17.2355,21.3325,5.8194982833333,,
995,19.513333333333,24.175166666667,5.3354980333333,,20.478675
996,14.828833333333,17.216333333333,4.6918953166667,,41.8684
997,15.971333333333,21.192833333333,,,
998,21.828166666667,24.756833333333,8.8035229333333,,66.67955
999,14.8725,16.046666666667,5.4130357166667,,65.04365
1000,12.874,14.925833333333,3.5053512833333,,15.4679
1001,17.4305,21.374333333333,,,47.417825
1002,16.2135,18.603666666667,,,50.549975
1003,15.367166666667,18.511166666667,5.8630383333333,,66.908975
1004,14.654166666667,17.3695,5.6634464833333,,26.576725
1005,13.804166666667,16.401166666667,5.9703572333333,,49.273175
1006,14.6675,18.448333333333,4.3363404333333,,28.60165
1007,25.456,33.086666666667,25.198859416667,,60.648
1008,7.98,,,,
1009,25.231333333333,76.461833333333,14.536207416667,,99.075025
1010,26.903,122.45883333333,10.221614816667,,
1011,1.5342,2.7961,,,
1012,1.4301,25.559,2.369,,37.252
1013,3.7973,5.074,1.37948,,15.0194
1014,1.7337,6.0318,4.77842,,
1015,17.403,3.4532,,,
1016,10.0,23.0,,7.0,
1017,,,,1.0,66.0
1018,7.0,13.9,,,
1019,898.163,50.692,,,
1020,12.5407,52.895,,,
1021,11.3704,54.1025,,,
1022,14.7775,58.5125,,,
1023,,47.7423,,,
1024,,,,,
1025,,47.7423,,,
1026,11.3704,54.1025,,,
1027,14.7775,58.5125,,,
1028,,49.369,,,99.821
1029,,45.3638,,,102.904
1030,12.6722,50.18,,,
1031,,,,,
1032,,,,,
1033,,,,,
1034,,,,,
1035,13.7592,51.625,,,
1036,13.7592,51.625,,,
1037,,15.9554,,,30.7943
1038,12.0407,18.7925,,,
1039,,22.5001,,,
1040,,0.0,,,
1041,4.4,,,,
1042,,,,,
1043,3.8,6.395,,,
1044,,,,,
1045,0.0,,,,
1046,,5.5,,,
1047,8.52963,13.8925,,,52.2301
1048,-99.0,-99.0,,,
1049,,54.305,,,
1050,,13.5918,,,
1051,4.908333381017049,4.991666674613953,,,
1052,6.3245,10.9895,,,68.7283
1053,,7.6794,,,69.067
1054,,7.6794,,,69.067
1055,5.9,12.8,,,
1056,,50.0,,,
1057,5.0,59.0,,,
1058,5.4,9.8,,,52.6
1059,7.0,9.7,,,
1060,,13.4,,,
1061,6.0,18.0,,,
1062,4.5,7.3,,,51.4
1063,7.0,15.0,0.0,,43.0
1064,9.0,,,,
1065,7.0,18.0,1.0,,49.0
1066,7.0,11.0,,,
1067,6.0,,,,44.0
1068,5.1,9.7,,,
1069,,11.1,,,
1070,,8.3,,,44.4
1071,4.0,5.8,,,
1072,10.0,20.0,,,
1073,3.9,13.0,,,
1074,10.4,14.5,,,
1075,,11.3,,,
1076,,12.6,,,
1077,,14.5,,,
1078,6.236607154210408,6.813988049825032,,,
1079,10.22083338101705,,,,
1080,7.717410683631897,8.165327390034994,,,
1081,8.575446526209513,8.943601330121359,,,
1082,,6.0,,,
1083,,,,,29.1
1084,0.0,0.0,,,
1085,,44.0,,4.0,
1086,,,,,
1087,,53.0,,0.0,53.0
1088,,19.4908886,,,
1089,-1.0,-1.0,12.3682976,,47.1322937
1090,,44.192276,,,
1091,,33.21161,7.024758,,
1092,,53.25733,,,
1093,,23.7281933,,,
1094,,2.353043,,,
1095,,9.027133,,,
1096,9.903846,17.3356247,,,
1097,,38.47268,,,
1098,,63.0497475,,,
1099,5.913155,7.968661,,,60.23054
1100,,42.5602226,,,
1101,,13.9674444,,,
1102,,8.227525,,,
1103,,17.9097767,,,
1104,,10.692627,,,
1105,,9.739674,,,
1106,14.333333253860474,14.731696526209513,,,
1107,9.854166666666666,10.05833331743876,,,
1108,2.5,5.0,2.3,,46.5
1109,,,,,
1110,1.75,13.0,0.95,,47.0
1111,,,,,
1112,5.65,8.35,,,
1113,,,,,
1114,,,,,
1115,5.3,7.5,,,48.0
1116,0.6,3.0,,,39.5
1117,4.5,7.5,4.15,,46.5
1118,,,,,
1119,,,,,
1120,,,,,
1121,,,,,
1122,,,,,
1123,,,,,
1124,,,,,
1125,4.5,7.5,4.35,,46.5
1126,,14.14625,-1.0,,
1127,2.26667,6.68333,10.0889,0.666667,
1128,2.55,6.10001,,,
1129,3.043,5.61,3.396,0.8734,
1130,-1.0,8.0,8.32271,4.04082,
1131,2.4625,-1.0,7.94817,0.0478333,
1132,3.48291,9.92717,,-1.75716,29.8669
1133,-1.0,13.75,,,
1134,,,,,
1135,-999.0,,,,
1136,,36.0,,,64.735
1137,17.0,36.0,1.143,,65.982
1138,,36.0,,,64.735
1139,,-1.0,,,
1140,-1.0,-1.0,,,-1.0
1141,,-1.0,-1.0,,-1.0
1142,,-1.0,-1.0,,
1143,,,,5.9,
1144,3.5,9.5,3.5,4.2,47.0
1145,8.0,17.0,,5.7,
1146,,20.82107,6.744808,,
1147,,9.072927,,,
1148,,20.82107,6.744808,,
1149,,4.97096,,,
1150,,11.0096941,,,
1151,3.2762,10.367,,,
1152,2.2812,3.9434,1.74363,,61.816
1153,2.8138,5.439,1.37948,,64.536
1154,3.888,8.6512,4.98324,,
1155,5.5458,14.535,,,
1156,,-1.0,-1.0,1.28434991,-1.0
1157,20.499,23.833,3.02016,,10.937
1158,18.573,25.745,7.87121,,40.388
1159,10.0,19.0,1.0,,23.0
1160,3.1,6.4,,,25.6
1161,1.8273809452851613,2.202380945285161,,,
1162,3.620833357175192,,,,
1163,,43.0,-1.0,1.0,68.0
1164,,,,,
1165,14.0,50.0,,7.0,
1166,,53.0,,0.0,68.0
1167,17.0,54.0,,1.0,46.0
1168,,49.0,,6.0,
1169,11.0,40.0,3.2,0.0,60.0
1170,,51.0,,0.0,
1171,7.0,22.0,3.5,2.0,37.0
1172,,,,,
1173,,,,,45.0
1174,,,,,20.0
1175,,,2.0,,10.0
1176,0.6,3.0,,,39.5
1177,,,,,
1178,,,,,
1179,,,,,
1180,,,,,
1181,,,,,
1182,,,,,
1183,,,,,
1184,5.65,8.35,,,
1185,,,,,
1186,,,,,
1187,14.0,,,,
1188,,15.25,7.68,7.05,
1189,18.69789,42.339,1.662225,8.670756,50.81553
1190,,,4.000473,9.15253,56.37994
1191,,,3.271075,,79.72968
1192,3.0,7.5,,,50.5
1193,8.179166634877523,8.741666634877523,,,
1194,,,1.7,,85.3
1195,,-1.0,2.7,,
1196,,-1.0,,,
1197,-1.0,-1.0,2.0,,83.0
1198,,,1.6,,
1199,-1.0,-1.0,,,94.0
1200,,-1.0,,,
1201,-1.0,-1.0,1.9,,98.0
1202,,-1.0,,,95.0
1203,,-1.0,-1.0,,98.0
1204,,0.0,,,90.0
1205,,19.0749531,-1.0,,
1206,,4.97096,,,
1207,,19.0749531,-1.0,,
1208,5.33,,,11.09,
1209,5.05,,,11.48,
1210,47.94,,,15.11,
1211,,,,12.18,
1212,3.62,,,48.44,
1213,,,2.2,,62.0
1214,11.0,41.0,2.2,3.0,15.0
1215,,,2.7,,50.0
1216,20.032,33.542,,,
1217,,18.81744956,7.51229953,0.32160001,45.794
1218,,15.0,,,
1219,,25.0,,,
1220,,12.0,,,
1221,3.6,8.93,,,
1222,3.93,10.07,,,42.67
1223,4.72,12.62,,,
1224,,28.0,,,
1225,6.0,13.0,3.0,1.0,86.0
1226,,21.0,2.0,1.0,
1227,5.0,15.0,,7.0,
1228,3.3,6.3,,,
1229,0.0,9.5,,,
1230,4.2,7.8,,,40.4725
1231,3.2,6.3,,,
1232,898.163,10.2545,,,
1233,4.83334,10.6902,,,
1234,3.35944,7.287,,,
1235,4.88125,8.87625,,,
1236,,8.02748,,,
1237,,8.02748,,,
1238,,9.4,,6.5,
1239,2.6,7.7,,,
1240,2.037499995281299,2.204166676849127,,,
1241,3.4,8.5,,-999.0,-999.0
1242,,,,-999.0,64.9
1243,10.1,10.0,,-999.0,
1244,,,,-999.0,
1245,,,,-999.0,
1246,1.1,6.8,,-999.0,66.5
1247,9.1,5.1,,-999.0,
1248,,,,-999.0,
1249,5.5,9.7,1.4,,
1250,5.3,9.2,,-999.0,63.8
1251,,2.2,,-999.0,
1252,2.9,13.2,,-999.0,
1253,,,,-999.0,
1254,,7.2,,-999.0,
1255,,-995.0,,,
1256,4.0,5.9,,,
1257,3.7,5.4,,,
1258,7.3565,12.908572,,,
1259,3.953056,5.73375,,,
1260,1.942671,5.024107,,,
1261,3.1,4.5,,,
1262,4.0,10.01,,,
1263,5.3,20.9,,,
1264,3.625778,5.203183,,,
1265,6.211393,9.013279,,,
1266,4.9,12.7,,,
1267,1.110885,5.560882,0.267419,,48.906889
1268,1.0333333512147267,1.3291666756073637,,,
1269,-0.018553,4.658852,,,
1270,0.383726,4.684225,,,
1271,11.985389,56.127275,,,
1272,0.0,0.0,,,
1273,,,,,
1274,,,,5.93,-1.0
1275,,,,27.65,
1276,,27.944,0.126861,,79.868
1277,,32.934,0.020251,,72.6852
1278,8.62601,26.6385,0.005176,,86.7186
1279,,31.0368,,,
1280,13.23325,29.68394,,,
1281,12.30438,25.90316,,,
1282,12.73863,23.17575,0.423437,,80.73647
1283,,,,,
1284,14.0455,27.16383,0.24574,,
1285,8.6101,31.954,,,85.37367
1286,12.577,21.63433,0.02162,3.9385,87.53667
1287,10.46867,,,0.5125,97.455
1288,8.56497,21.31033,0.60467,8.14031,82.84483
1289,29.5583332379659,31.466667016347248,,,
1290,12.112499952316284,12.383333285649618,,,
1291,5.9036,10.583,,,38.0957
1292,,7.5128,,,51.6423
1293,,19.0,,,
1294,,18.0,,,
1295,,22.0,,,
1296,3.9,7.4,,,
1297,0.0,11.5,,,
1298,4.9,9.1,,,40.4725
1299,3.9,7.4,,,
1300,12.0,,,,
1301,3.11716,6.46812,3.646,1.6034,
1302,-1.0,8.0,8.64297,4.99558,
1303,2.543,-1.0,9.095,0.0556667,
1304,3.31853,9.51401,,-1.72189,28.8062
1305,4.4,6.4,,,
1306,3.9,5.6,,,
1307,6.911917,13.609172,,,
1308,4.420694,6.555,,,
1309,4.157543,8.344998,,,
1310,3.1,4.9,,,
1311,3.3,8.47,,,
1312,5.6,30.14,,,
1313,3.812314,5.454722,,,
1314,3.449893,11.613824,,,
1315,3.9,9.9,,,
1316,-0.671756,6.232165,0.204885,,44.174944
1317,2.585478,7.363203,,,
1318,14.356164,71.666589,,,
1319,,5.93305,,,55.5482
1320,,5.93305,,,55.5482
1321,5.57648,13.03,,,
1322,,,,,
1323,17.88478,38.9518,2.301628,10.20558,61.70086
1324,,,1.000328,3.805386,81.88035
1325,3.359544,9.743371,,,
1326,12.0,,,,
1327,2.66667,8.08333,9.95555,0.708333,
1328,2.75,6.45,,,
1329,-999.0,,,,
1330,,,,,
1331,5.3,7.5,,,48.0
1332,,,,,
1333,,,,,
1334,8.62601,26.6385,0.005176,,86.7186
1335,-999.0,,,,
1336,6.86,,,13.1,
1337,3.58,,,8.69,
1338,16.24,,,13.32,
1339,8.23,,,7.57,
1340,4.04,,,10.58,
1341,5.57,,,8.35,
1342,7.87,,,24.85,
1343,3.91,,,8.62,
1344,2.04,,,17.81,
1345,4.35,,,2.2,
1346,24.1,,,11.54,
1347,,,,,
