id,city_id,location,lat,lon
4632,5,NET.09,48.21951699946667,16.345551999999998
4665,5,AT90LAA,48.1610363883555,16.3929202777778
3428,5,Rinnb�ckstra�e - A23,48.184144166133294,16.4065972222222
2808,5,Wien Floridsdorf Gerichtsgasse,48.26084273999853,16.396948881033623
2751,5,Wien Hohe Warte - Zentralanstalt für Meteorologie und Geodyn,48.249179535401346,16.357782334646014
2777,5,Wien Taborstrasse,48.21806464890474,16.381947015788832
2754,5,Wien Kaiserebersdorf,48.156916713820294,16.47555146839408
2787,5,Wien Liesing,48.13803656081193,16.296696895325887
2788,5,Wien Laaer Berg,48.161410964660504,16.392816630726674
2807,5,Wien Gaudenzdorf,48.187769306263824,16.34053468119092
2784,5,Wien Schafberg,48.235838353194374,16.303074933843135
2810,5,Wien AKH,48.21914201881355,16.345834741367224
2783,5,Vösendorf,48.125026192709605,16.331641359878137
2809,5,Wien Belgradplatz,48.1750111647454,16.36308239482232
2753,5,Wien Stephansplatz,48.20890608925811,16.373862178231754
2782,5,Wien Stadlau,48.22805937688927,16.46054960314929
2799,5,Wien Hietzinger Kai,48.18890720219492,16.30199695550219
3026690,6,NASA GSFC Rutgers Calib. N19,53.56833,9.97333
2848085,6,"Muehlenstieg, Hamburg Wandsbek",53.57298278808594,10.061548233032228
3098,6,Hamburg Kieler Straße,53.56439900021153,9.944580000422455
3071,6,Hamburg Hafen,53.52915799997496,9.98159900015587
3143,6,Hamburg Max-Brauer-Allee II (Straße),53.55566799998861,9.943012000077175
3963,7,"""Budapest Pesthidegkut""",47.56194399954603,18.9600080000324
3945,7,"""Budapest Teleki""",47.49194399963094,19.087781000058193
3964,7,"""Budapest Szena""",47.50805599958544,19.02806699981771
783921,7,Budapest Pesthidegkút,47.561738,18.960876
783935,7,Budapest Széna tér,47.508605,19.02764
783932,7,Budapest Teleki tér,47.492104,19.087778
2996392,8,Barcelona - Porta - Can Dragó,41.43194877141375,2.18073885709509
3294,8,Barcelona,41.40388,2.204501
3276,8,Barcelona,41.398724,2.1533988
3229,8,Sant Adrià de Besòs,41.425594,2.2221997
3234,8,Santa Coloma de Gramenet,41.447422,2.209497
3316,8,"Hospitalet de Llobregat, l'",41.370476,2.1149993
3291,8,Barcelona,41.38749,2.1151996
786219,8,Barcelona,41.41843,2.1238973
3314,8,"Prat de Llobregat, el",41.321487,2.0977015
3355,8,Badalona,41.443985,2.2378986
1744505,8,MONTCADA I REIXAC (CAN SANT JOAN),41.46980055482777,2.184233488379306
3298,8,Barcelona,41.385315,2.1537998
3293,8,BARCELONA (SANTS),41.37880280219644,2.133098078403608
3042186,8,BARCELONA (PALAU REIAL),41.38750000026505,2.1151000002079337
3273,8,BARCELONA (CIUTADELLA),41.38641393367885,2.187416735063915
2990,8,BARCELONA (PARC DE LA VALL D'HEBRON),41.426077199739154,2.1479920317282684
3042184,8,BARCELONA (GRÀCIA - SANT GERVASI),41.39958099969136,2.152385000080129
1334443,8,La Sagrera,41.424066334836034,2.185756745065996
896621,8,Montcada i Reixac,41.469826,2.1758358
3113,9,München/Lothstraße,48.15453400015709,11.554669000315997
3093,9,München/Johanneskirchen,48.1731939997464,11.648036000343884
2669,9,München/Stachus,48.13725200011463,11.564923999614544
3099,9,München/Landshuter Allee,48.149606000214845,11.536513000090004
3090,9,München/Allach,48.181689999832365,11.464449999775912
2603966,9,Parkstadt Schwabing (Lyonel-Feininger-Straße),48.1794742,11.5927015
2403877,10,"Prague, Stodůlky",50.05292736207497,14.347338936803885
4369,10,Praha 4-Libus,50.00730514514777,14.445933342314296
4387,10,Praha 8-Karlin,50.09423828151478,14.442049026127448
4362,10,Praha 9-Vysocany,50.11108016953929,14.503095626786267
4403,10,Praha 10-Vrsovice,50.06642913815961,14.44615173353965
