day,location name_x,lat,lon,location name_y,pm2.5,pm10,so2,no2,o3
2024-02-25,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,2.227272727272727,7.045454545454546,58.40909090909091
2024-02-26,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,3.125,19.041666666666668,57.541666666666664
2024-02-27,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,2.875,23.75,56.75
2024-02-28,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,3.0,39.541666666666664,44.208333333333336
2024-02-29,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,3.125,37.041666666666664,36.125
2024-03-01,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,2.5833333333333335,18.541666666666668,61.458333333333336
2024-03-02,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,2.4583333333333335,12.083333333333334,68.33333333333333
2024-03-03,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,2.6666666666666665,10.666666666666666,72.0
2024-03-04,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,3.2916666666666665,16.625,57.5
2024-03-05,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,2.45,25.166666666666668,59.333333333333336
2024-03-06,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,3.5416666666666665,42.125,38.458333333333336
2024-03-07,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,3.3333333333333335,33.75,48.708333333333336
2024-03-08,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,3.0833333333333335,17.208333333333332,61.875
2024-03-09,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,3.2083333333333335,11.333333333333334,70.58333333333333
2024-03-10,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,3.0833333333333335,10.041666666666666,68.25
2024-03-11,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,2.5384615384615383,17.916666666666668,61.46153846153846
2024-03-18,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,-1.0,30.0,2.0
2024-03-23,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,3.6666666666666665,22.666666666666668,65.66666666666667
2024-03-24,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,4.0,27.0,42.0
2024-03-25,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,3.5555555555555554,16.444444444444443,53.77777777777778
2024-03-26,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,4.076923076923077,12.0,71.07692307692308
2024-03-27,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,3.5833333333333335,9.291666666666666,66.625
2024-03-28,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,2.789473684210526,6.526315789473684,60.1578947368421
2024-03-29,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,3.7916666666666665,10.166666666666666,75.45833333333333
2024-03-30,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,3.9166666666666665,14.333333333333334,64.70833333333333
2024-03-31,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,4.0,10.958333333333334,74.41666666666667
2024-04-01,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,3.125,13.541666666666666,71.70833333333333
2024-04-02,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,2.8333333333333335,20.625,51.208333333333336
2024-04-03,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,2.9583333333333335,18.958333333333332,65.83333333333333
2024-04-04,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,3.7083333333333335,39.25,42.666666666666664
2024-04-05,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,4.166666666666667,41.541666666666664,45.541666666666664
2024-04-06,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,4.041666666666667,31.791666666666668,52.5
2024-04-07,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,3.6666666666666665,22.291666666666668,49.125
2024-04-08,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,2.9545454545454546,15.909090909090908,65.0
2024-04-09,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,3.0,25.375,63.75
2024-04-10,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,PLAZA DEL CARMEN,,,2.8333333333333335,25.458333333333332,64.04166666666667
