id,location,city,country,lat,lon,day,time,pm25,pm10,so2,no,o3
2960653,"19 Nork street, Yerevan, Armenia",Yerevan,AM,40.19189,44.54274,2024-09-11,01:58,11.76,,,,
2960665,"27/16 Rubinyants street, Yerevan, Armenia",Yerevan,AM,40.20648,44.55281,2024-09-11,02:03,19.21,,,,
2960633,"19 Nork street, Yerevan, Armenia",Yerevan,AM,40.19203,44.54306,2024-09-11,01:55,16.43,,,,
2960627,"192 Arshakunyats street, Yerevan, Armenia",Yerevan,AM,40.14499,44.49662,2024-09-11,02:00,14.62,,,,
2960654,"37/47 Lukashin street, Yerevan, Armenia",Yerevan,AM,40.19401,44.44671,2024-08-26,09:59,13.17,,,,
2960646,"27/16 Rubinyants street, Yerevan, Armenia",Yerevan,AM,40.20591,44.55282,2024-07-29,11:03,0.0,,,,
2960647,"64/7 G.Hovsepyan street, Yerevan, Armenia",Yerevan,AM,40.17419,44.53553,2024-07-29,10:52,0.0,,,,
2960622,"101/2 Artashat street, Yerevan, Armenia",Yerevan,AM,40.10913,44.47162,2024-07-24,10:35,10.229999542236328,,,,
370669,Yerevan,Yerevan,AM,40.16515,44.48171,2023-06-15,13:00,10.4,,,,
2070168,Krafftgasse Innenhof (mount height 12m),Vienna,AT,48.22243365718118,16.373341834689935,2024-09-11,05:00,6.450000007947286,6.600000023841858,,,
2857420,home,Vienna,AT,48.249,16.451,2024-09-11,05:00,10.26964282989502,10.729017734527588,,,
3035984,Bonygasse,Vienna,AT,48.179,16.332,2024-09-04,00:00,27.69166660308838,29.104166507720947,,,
2162122,41REG1 - BRUXELLES            ,Brussels,BE,50.84356660426935,4.367005785202302,2024-09-10,22:00,5.65,8.35,,,
2162134,41B001 - BRUSSEL (Kunst-Wet),Brussels,BE,50.84577802979376,4.368113262420545,2024-09-09,21:00,,,,,
2777554,Quai de Mariemont Molenbeek 2,Brussels,BE,50.849734,4.334159,2024-08-27,13:00,11.385416587193808,12.194047689437866,,,
2777555,,Brussels,BE,50.849734,4.334159,2024-08-27,13:00,11.647321383158364,12.568452517191568,,,
2777553,,Brussels,BE,50.84959117568466,4.334002515384965,2024-08-27,13:00,12.122321367263794,12.383482217788696,,,
2515835,BETVBX3 - Brussel (Rue de Laeken),Brussels,BE,50.85501819975802,4.3524486336338555,2024-09-10,22:00,,,,,
2515834,BETVBX3 - Brussel (Rue de Laeken),Brussels,BE,50.85501819975802,4.3524486336338555,2024-09-10,22:00,,,,,
4833,BETR002,Brussels,BE,50.825128,4.384719,2024-01-29,20:00,,,3.8,,
4863,BETB011,Brussels,BE,50.8580305936746,4.2883363663059,2024-01-29,20:00,12.25,16.0,,,32.0
3448,BETMEU1,Brussels,BE,50.895101,4.392718,2024-01-29,20:00,11.8,16.0,,,32.0
4920,BETR001,Brussels,BE,50.84966500000001,4.33382,2024-01-29,20:00,9.75,15.0,2.5,,25.5
8139,BETB008,Brussels,BE,50.8407885668979,4.37614906974903,2024-01-29,20:00,,,,,
4555,BETN043,Brussels,BE,50.8835598117798,4.38296325180234,2024-01-29,20:00,11.45,17.0,5.15,,32.0
